gene_name,uniprot,hgnc_symbol,ensembl
ABCA1,O95477,ABCA1,ENSG00000165029
ACE2,Q9BYF1,ACE2,ENSG00000130234
ACKR1,Q16570,ACKR1,ENSG00000213088
ACKR2,O00590,ACKR2,ENSG00000144648
ACKR3,P25106,ACKR3,ENSG00000144476
ACKR4,Q9NPB9,ACKR4,ENSG00000129048
ACVR1,Q04771,ACVR1,ENSG00000115170
ACVR1B,P36896,ACVR1B,ENSG00000135503
ACVR1C,Q8NER5,ACVR1C,ENSG00000123612
ACVR2A,P27037,ACVR2A,ENSG00000121989
ACVR2B,Q13705,ACVR2B,ENSG00000114739
ACVRL1,P37023,ACVRL1,ENSG00000139567
ADCYAP1,P18509,ADCYAP1,ENSG00000141433
ADCYAP1R1,P41586,ADCYAP1R1,ENSG00000078549
ADGRE5,P48960,ADGRE5,ENSG00000123146
ADGRG3,Q86Y34,ADGRG3,ENSG00000182885
ADGRG5,Q8IZF4,ADGRG5,ENSG00000159618
ADGRL1,O94910,ADGRL1,ENSG00000072071
ADGRV1,Q8WXG9,ADGRV1,ENSG00000164199
ADIPOQ,Q15848,ADIPOQ,ENSG00000181092
ADIPOR1,Q96A54,ADIPOR1,ENSG00000159346
ADIPOR2,Q86V24,ADIPOR2,ENSG00000006831
ADIPOR2,Q86V24,ADIPOR2,ENSG00000285070
ADM,P35318,ADM,ENSG00000148926
ADM2,Q7Z4H4,ADM2,ENSG00000128165
ADORA1,P30542,ADORA1,ENSG00000163485
ADORA2A,P29274,ADORA2A,ENSG00000128271
ADORA2B,P29275,ADORA2B,ENSG00000170425
ADORA3,P0DMS8,ADORA3,ENSG00000282608
ADRA1A,P35348,ADRA1A,ENSG00000120907
ADRA1B,P35368,ADRA1B,ENSG00000170214
ADRA1D,P25100,ADRA1D,ENSG00000171873
ADRA2A,P08913,ADRA2A,ENSG00000150594
ADRA2B,P18089,ADRA2B,ENSG00000274286
ADRA2C,P18825,ADRA2C,ENSG00000184160
ADRB1,P08588,ADRB1,ENSG00000043591
ADRB2,P07550,ADRB2,ENSG00000169252
ADRB3,P13945,ADRB3,ENSG00000188778
AGER,Q15109,AGER,ENSG00000229058
AGER,Q15109,AGER,ENSG00000230514
AGER,Q15109,AGER,ENSG00000204305
AGER,Q15109,AGER,ENSG00000231268
AGER,Q15109,AGER,ENSG00000237405
AGER,Q15109,AGER,ENSG00000206320
AGER,Q15109,AGER,ENSG00000234729
AGRN,O00468,AGRN,ENSG00000188157
AGRP,O00253,AGRP,ENSG00000159723
AGT,P01019,AGT,ENSG00000135744
AGTR1,P30556,AGTR1,ENSG00000144891
AGTR2,P50052,AGTR2,ENSG00000180772
AIMP1,Q12904,AIMP1,ENSG00000164022
AKR1B1,P15121,AKR1B1,ENSG00000085662
AKR1C3,P42330,AKR1C3,ENSG00000196139
AKR1D1,P51857,AKR1D1,ENSG00000122787
ALB,P02768,ALB,ENSG00000163631
ALCAM,Q13740,ALCAM,ENSG00000170017
ALDH1A1,P00352,ALDH1A1,ENSG00000165092
ALDH1A2,O94788,ALDH1A2,ENSG00000128918
ALDH1A3,P47895,ALDH1A3,ENSG00000184254
ALK,Q9UM73,ALK,ENSG00000171094
ALOX12,P18054,ALOX12,ENSG00000108839
ALOX5,P09917,ALOX5,ENSG00000275565
ALOX5,P09917,ALOX5,ENSG00000012779
ALOX5AP,P20292,ALOX5AP,ENSG00000132965
