partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
12oxoLeukotrieneB4_byPTGR1,Q15722,,LT4R1_HUMAN,curated,HMRbase;uniprot;reactome
12oxoLeukotrieneB4_byPTGR1,Q9NPC1,,LT4R2_HUMAN,curated,HMRbase;uniprot;reactome
22Hydroxycholesterol_byCYP11A1,Q96RI1,,NR1H4_HUMAN,curated,HMRbase;uniprot
22Hydroxycholesterol_byCYP3A4,Q96RI1,,NR1H4_HUMAN,curated,HMRbase;uniprot
2arachidonoylglycerol_byDAGLA,P21554,,CNR1_HUMAN,curated,reactome
2arachidonoylglycerol_byDAGLA,P34972,,CNR2_HUMAN,curated,reactome
2arachidonoylglycerol_byDAGLA,Q9Y2T6,,GPR55_HUMAN,curated,reactome
2arachidonoylglycerol_byDAGLB,P21554,,CNR1_HUMAN,curated,reactome
2arachidonoylglycerol_byDAGLB,P34972,,CNR2_HUMAN,curated,reactome
2arachidonoylglycerol_byDAGLB,Q9Y2T6,,GPR55_HUMAN,curated,reactome
5SHpETE_byALOX5,Q8TDS5,,OXER1_HUMAN,curated,HMRbase;uniprot
5alphaDihydroprogesterone_byDHRS9,P06401,,PRGR_HUMAN,curated,HMRbase
A4D1S0,O96014,,,InnateDB-All,
A4D1S0,P41273,,,InnateDB-All,
A4D1S0,Q9H1J7,,,InnateDB-All,
A5X5Y0,SerotoninDopamin_byDDC,,5HT3E_HUMAN,curated,uniprot
A6NMZ7,integrin_a10b1_complex,CO6A6_HUMAN,,curated,uniprot
A6NMZ7,integrin_a11b1_complex,CO6A6_HUMAN,,curated,uniprot
A6NMZ7,integrin_a1b1_complex,CO6A6_HUMAN,,curated,uniprot
A6NMZ7,integrin_a2b1_complex,CO6A6_HUMAN,,curated,uniprot
A8TX70,integrin_a10b1_complex,CO6A5_HUMAN,,curated,uniprot
A8TX70,integrin_a11b1_complex,CO6A5_HUMAN,,curated,uniprot
A8TX70,integrin_a1b1_complex,CO6A5_HUMAN,,curated,uniprot
A8TX70,integrin_a2b1_complex,CO6A5_HUMAN,,curated,uniprot
ACVL1_ACVR2A,O95393,BMP10_HUMAN,,curated,PMID:25136781
ACVL1_ACVR2A,Q9UK05,GDF2_HUMAN,,curated,PMID:25136781
ACVL1_BMPR2,O95393,BMP10_HUMAN,,curated,PMID:22710174
ACVL1_BMPR2,Q9UK05,GDF2_HUMAN,,curated,PMID:22710174
ACVR1_BMPR2,P18075,BMP7_HUMAN,,curated,PMID:22710174
ACVR1_BMPR2,P22003,BMP5_HUMAN,,curated,PMID:22710174
ACVR1_BMPR2,P22004,BMP6_HUMAN,,curated,PMID:22710174
ACVR1_BMPR2,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
ACVR_1A2A_receptor,Activin_ligand_ab,,,curated,less_common_binding;PMID:22710174;PMID:22991378_
ACVR_1A2A_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1A2A_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1A2A_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
ACVR_1A2A_receptor,P18075,BMP7_HUMAN,,curated,PMID:22710174
ACVR_1A2A_receptor,P22003,BMP5_HUMAN,,curated,PMID:22710174
ACVR_1A2A_receptor,P22004,BMP6_HUMAN,,curated,PMID:22710174
ACVR_1A2A_receptor,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
ACVR_1A2B_receptor,Activin_ligand_ab,,,curated,less_common_binding;PMID:22710174;PMID:22991378_
ACVR_1A2B_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1A2B_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1A2B_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
ACVR_1A2B_receptor,P18075,BMP7_HUMAN,,curated,PMID:22710174
ACVR_1A2B_receptor,P22003,BMP5_HUMAN,,curated,PMID:22710174
ACVR_1A2B_receptor,P22004,BMP6_HUMAN,,curated,PMID:22710174
ACVR_1A2B_receptor,Q7Z5Y6,BMP8A_HUMAN,,curated,PMID:22710174
ACVR_1B2A_receptor,Activin_ligand_ab,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2A_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2A_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2A_receptor,O95390,GDF11_HUMAN,,curated,PMID:22710174
ACVR_1B2A_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
ACVR_1B2B_receptor,Activin_ligand_ab,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2B_receptor,Inhibin_ligand_A,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2B_receptor,Inhibin_ligand_B,,,curated,PMID:22710174;PMID:22991378
ACVR_1B2B_receptor,O14793,GDF8_HUMAN,,curated,PMID:22710174
ACVR_1B2B_receptor,O95390,GDF11_HUMAN,,curated,PMID:22710174
ACVR_1B2B_receptor,P05111,INHA_HUMAN,,curated,PMID:22710174;PMID:22991378
